isbn,title,author,publisher
3791388118,Brutalism Reinvented,Agata Toromanoff,Prestel
6079489619,New Brutalism,Rafael Pardo,Arquine
0367023857,Brutalism Resurgent,"Julia Gatley, Stuart King",Taylor & Francis Ltd
